class,precision,recall,f1-score,support
adipose,0.9776490066225165,0.882660687593423,0.9277297721916732,1338.0
background,1.0,1.0,1.0,847.0
debris,0.8657894736842106,0.9705014749262537,0.9151599443671766,339.0
lymphocytes,0.9577039274924471,1.0,0.9783950617283951,634.0
mucus,0.9690402476780186,0.9072463768115943,0.937125748502994,1035.0
smooth muscle,0.6865869853917662,0.8733108108108109,0.7687732342007435,592.0
normal colon mucosa,0.871571072319202,0.9433198380566802,0.9060272197018795,741.0
cancer-associated stroma,0.9515418502202643,0.5130641330166271,0.6666666666666666,421.0
colorectal adenocarcinoma epithelium,0.9054054054054054,0.9781021897810219,0.9403508771929825,1233.0
