epoch,train_accuracy,train_macro_f1,train_loss,val_accuracy,val_macro_f1,val_loss,learning_rate
1,0.8203809058180364,0.8173425457764579,0.7494951347212425,0.7968812475009996,0.8087182961596651,0.7595149601330428,0.001
2,0.9302969020845371,0.9293910599487345,0.4955325236272386,0.9244302279088364,0.9262064814216916,0.4878024301591848,0.001
3,0.9479199075514467,0.9473917772497545,0.44813072077406424,0.9384246301479409,0.935284254776252,0.4574979777123536,0.001
4,0.9573092137428331,0.9569806732171988,0.42249071149011364,0.9277289084366254,0.9249761227247119,0.4739507706295915,0.001
5,0.9634872661007156,0.9631221422624766,0.40687184013061045,0.9697121151539384,0.9690458615078921,0.39033382066913913,0.001
6,0.968498599937775,0.9682787440765357,0.39195246707254466,0.9425229908036785,0.941063535205529,0.4485091206456413,0.001
7,0.9713876172274323,0.9712279527441355,0.386048042475899,0.9577169132347061,0.9560682999938133,0.40074421632818963,0.001
8,0.9735654917996356,0.9733556503775228,0.3772412661730096,0.9640143942423031,0.9639926521334348,0.3890784840400769,0.001
9,0.9801991199608872,0.9800304188090975,0.35945335051219585,0.9795081967213115,0.9795782270389597,0.35145913150872005,0.0005
10,0.9815769589759545,0.9814321467815991,0.35554275285551784,0.984406237504998,0.9842949785487919,0.3397247692266973,0.0005
11,0.9824881105826926,0.98240487526441,0.35313829870492947,0.9830067972810875,0.9826582638441188,0.3419896763284318,0.0005
12,0.9834437086092715,0.9832728885994766,0.3499736589025649,0.984906037584966,0.9842746592185111,0.3406754866307948,0.0005
13,0.9836326058935952,0.983477494771575,0.34918907892863493,0.9816073570571772,0.9813447402234714,0.3442295490146303,0.0005
14,0.9868216365171786,0.9866695787406626,0.3400067824634734,0.9906037584966013,0.9904775821974595,0.32313920555711506,0.00025
15,0.9873772167651895,0.9872253476494657,0.33820906937283945,0.9878048780487805,0.9875899992189859,0.3310735552180342,0.00025
16,0.9880883594826436,0.9879556126194355,0.3366198600996939,0.9897041183526589,0.9894921091701233,0.3252354694790289,0.00025
17,0.9878661273834393,0.9877064038141175,0.33666440801486114,0.9871051579368253,0.9868710517483521,0.33156668974227405,0.00025
18,0.9894995333125917,0.989406870634534,0.3314443568165204,0.9920031987205118,0.991921528445936,0.31458907907174044,0.000125
19,0.989566202942353,0.9894233496971702,0.33140853972873496,0.9921031587365055,0.9918755079746858,0.3164035067325685,0.000125
20,0.9898884394861994,0.9897583835540552,0.33033029375788825,0.9936025589764095,0.9934619975246208,0.3126927747315571,0.000125
21,0.9904329081292502,0.9903127224930901,0.3292297301300261,0.992702918832467,0.9925353510095416,0.31389661592657403,0.000125
22,0.9901106715854038,0.990034738009531,0.3291721778941942,0.9934026389444223,0.9932447926842405,0.3125057255492502,0.000125
23,0.9903329036846082,0.9902114603585151,0.32884360487113834,0.9935025989604158,0.9933443096917086,0.3113609016156111,0.000125
24,0.99193297479888,0.9918192120310952,0.32576180698262397,0.9936025589764095,0.9934180819530786,0.3106552677862838,6.25e-05
25,0.9916329614649539,0.9915149288777996,0.325815015833634,0.9945021991203519,0.9943770408307187,0.308244384560095,6.25e-05
