epoch,train_accuracy,train_macro_f1,train_loss,val_accuracy,val_macro_f1,val_loss,learning_rate
1,0.9202742344104182,0.920540626727839,0.4905426093772113,0.9511195521791284,0.9508208346893188,0.40841915484954244,0.0003
2,0.955898039912885,0.9559582140310111,0.396956686703564,0.9685125949620151,0.968549118546918,0.36508839538411014,0.0003
3,0.9636872749899995,0.9637431546621011,0.37352790194827457,0.9773090763694522,0.9772106656145314,0.3353770592483412,0.0003
4,0.9694319747544335,0.9696424606961368,0.3573579371963651,0.9807077169132347,0.9809037018852802,0.32556060410556387,0.0003
5,0.9726765634028179,0.9727859838699895,0.3491559908535116,0.9743102758896441,0.9739775774014162,0.3443113684010763,0.0003
6,0.9756100271123161,0.9756243244613264,0.34224398505492204,0.9800079968012795,0.9801124548351535,0.3290042844666142,0.0003
7,0.9768878616827414,0.9770230066928812,0.33649159891138375,0.9770091963214714,0.9771782936902144,0.3393908728961228,0.0003
8,0.984977110093782,0.9850650002918242,0.316102567588103,0.9905037984806078,0.9903636123963775,0.3007434462366558,0.00015
9,0.9875772256544735,0.9876585294258255,0.3097387802347066,0.9906037584966013,0.9904319850455329,0.3003225779233099,0.00015
10,0.9870994266411841,0.9871054599762166,0.3101006699401043,0.991203518592563,0.9911928565046628,0.3007903140170819,0.00015
11,0.9881439175074448,0.9880905746141225,0.30830992207833835,0.9893042782886845,0.9894354446699105,0.30260811602530696,0.00015
12,0.989366194053069,0.9894456647965448,0.3048769291986216,0.9872051179528188,0.987123239099692,0.3098995815582725,0.00015
