class,precision,recall,f1-score,support
adipose,0.9770710059171598,0.9872944693572496,0.9821561338289962,1338.0
background,0.9952996474735605,1.0,0.9976442873969376,847.0
debris,0.8825136612021858,0.9528023598820059,0.9163120567375886,339.0
lymphocytes,0.9703588143525741,0.9810725552050473,0.9756862745098039,634.0
mucus,0.9927835051546392,0.9304347826086956,0.9605985037406484,1035.0
smooth muscle,0.8482871125611745,0.8783783783783784,0.8630705394190872,592.0
normal colon mucosa,0.9041614123581336,0.9676113360323887,0.9348109517601043,741.0
cancer-associated stroma,0.8112244897959183,0.7553444180522565,0.7822878228782287,421.0
colorectal adenocarcinoma epithelium,0.9700499168053245,0.9456609894566099,0.9577002053388091,1233.0
